arrival_rate,service_rate,simulation_time,avg_waiting_time,avg_queue_length,utilization,throughput
1.1772902501845701,0.9917941341808176,189,31.38320134670153,39.74603174603175,1.0423280423280423,197
4.020655168041,3.8601326749922387,190,7.340483795699803,29.98996235884567,3.9,741
4.680517207992076,3.7089728875002175,60,7.804907020629144,32.41970802919708,3.8833333333333333,233
3.277726043480853,0.9596361131536951,199,67.84093507496993,225.38449848024317,1.0251256281407035,204
4.572827589765165,1.828323639967381,74,21.94096110842648,91.08544303797468,1.7837837837837838,132
4.179833203779201,5.002276319838634,100,0.5628721755310985,2.2356979405034325,4.34,434
1.3028208149538871,2.68483315685606,84,0.8676692794644724,1.328125,1.5238095238095237,128
1.2999341345910478,1.6194322152926452,105,1.8101409468197862,2.398550724637681,1.3047619047619048,137
4.981950676608961,5.137402790151732,77,1.260063021761535,5.937853107344632,4.48051948051948,345
1.0162658577489183,2.6003167207328652,190,0.2217317499713238,0.2222222222222222,0.9947368421052631,189
2.8596555496186173,2.5956512776645724,152,7.607559553467466,21.026442307692307,2.5328947368421053,385
3.1039942510924425,4.161281087588757,93,0.3937975583919359,1.091254752851711,2.774193548387097,258
2.4078461093192436,2.232508521085752,70,7.408497344883315,19.45810055865922,1.9,133
3.377915825818073,3.8444381020190437,98,0.5387787935871361,1.7515337423312884,3.306122448979592,324
4.6673875904885875,2.1553760188733166,96,21.635587913818664,115.2618025751073,2.25,216
2.1147825220183583,2.8965022655111103,66,0.4991324578425098,1.069767441860465,1.878787878787879,124
4.382357329784412,4.810704131962586,152,1.7901699724720481,7.596209912536443,4.467105263157895,679
2.458489228783038,2.170069067116428,131,5.244670695049083,14.425867507886435,2.053435114503817,269
0.9080214535343656,5.598192235362252,70,0.016347719861720802,0.014705882352941176,0.9714285714285714,68
0.6448910938741357,1.6828134287159338,156,0.1809256585274916,0.07446808510638298,0.5961538461538461,93
2.025860916161915,5.270461697956382,169,0.09432815649131156,0.18313953488372092,2.035502958579882,344
1.2283887082677234,5.1051135390959415,125,0.04884716018486937,0.06097560975609756,1.312,164
1.1064596092583692,0.8983717361005852,119,10.031644690235652,8.571428571428571,0.8487394957983193,101
2.373319464463008,0.6142693268721451,196,78.28017639061166,180.77473684210526,0.576530612244898,113
3.0400961383695533,5.230931431194699,146,0.20168270373528216,0.5264483627204031,2.7054794520547945,395
1.2601574218495213,2.0677415020415384,94,0.7827835553835736,0.9705882352941176,1.446808510638298,136
0.9442620628061802,5.863049606029195,156,0.029811036520168466,0.022556390977443608,0.8525641025641025,133
2.9973711386766753,4.271085878399618,129,0.6000943489534438,1.6809045226130652,3.0387596899224807,392
1.0939508966451714,2.850464063776991,160,0.12628045703615348,0.12571428571428572,1.075,172
4.300495430583473,5.504533767613917,147,0.6139157943443814,2.486571879936809,4.3061224489795915,633
1.2098709647028203,0.6298730544518807,178,39.3784661592054,54.48245614035088,0.6404494382022472,114
2.1117790489226094,3.7883744781193935,153,0.2545205185174849,0.5029940119760479,2.176470588235294,333
4.474989691701307,1.1396034138265634,76,30.886459089404458,126.2231884057971,1.3026315789473684,99
3.2647341068219227,5.802549006078569,81,0.3375566480824526,1.1927272727272726,3.3580246913580245,272
1.643118137788126,3.534937753152614,156,0.18729779613991582,0.2801556420233463,1.6474358974358974,257
2.6023645493558822,4.732197838892522,97,0.17007233386710008,0.358974358974359,2.402061855670103,233
2.545243826300718,4.239412672031236,71,0.5810218946302269,1.923913043478261,2.5492957746478875,181
1.9191863626367223,2.7492636857482133,57,0.5699841046220593,1.1746031746031746,2.0350877192982457,116
3.9597728222407818,1.6623308570387794,152,45.022958247961974,163.17437722419928,1.5657894736842106,238
2.1207347475553116,2.1030830165571808,94,1.1308880571792401,2.5736842105263156,1.8617021276595744,175
4.703071559399168,3.653010108356599,83,11.049002335506316,51.341207349081365,3.289156626506024,273
3.6239998228505046,1.4918825217730798,83,22.519520885413563,82.69424460431655,1.2650602409638554,105
2.917933302980733,1.933694627502423,62,8.989009057249985,21.333333333333332,1.8548387096774193,115
4.700745930930693,4.762965311284039,189,4.800682826714409,22.012359550561797,4.502645502645502,851
4.238176206559913,3.5021331517267122,124,15.320425299032738,64.82481751824818,3.4838709677419355,432
3.9067815041728586,5.70639029585429,101,0.45530889510965883,1.7460732984293195,3.772277227722772,381
4.383068103857323,3.824729860926371,159,8.623066787146243,38.6875,3.710691823899371,590
3.771095326885912,2.613705357140291,78,17.667929145049797,64.25,2.448717948717949,191
1.7131995505285678,3.985794658552977,77,0.39016312713981693,0.7258064516129032,1.5844155844155845,122
1.41690058933809,0.6396356947851787,138,37.0564040847463,53.4973544973545,0.5652173913043478,78
1.099918761492199,0.8467282988849343,124,21.52729721718216,27.2987012987013,0.7419354838709677,92
0.7554399103012859,5.106330854587411,92,0.029151880643858395,0.0,0.7282608695652174,67
1.6989740996067306,4.897726252652534,102,0.07895662036918702,0.07344632768361582,1.7352941176470589,177
0.7044937501603326,5.068777663905658,66,0.022277712896028916,0.02,0.7575757575757576,50
3.9384746852236736,4.453217741691475,59,0.36154837911932813,1.347457627118644,3.9491525423728815,233
2.0555646094303492,4.630960248922367,177,0.13590120566055583,0.2471264367816092,1.9661016949152543,348
3.950680844864314,1.3822153289356955,96,30.003616006912086,124.26075268817205,1.1979166666666667,115
2.4121464727380246,4.161819717310933,98,0.24632949128278653,0.5047169811320755,2.163265306122449,212
1.4392497217172753,0.7830521203891552,126,37.484641287570405,51.51111111111111,0.6825396825396826,86
4.285215980780187,2.3928650622807903,105,20.759882077481226,87.91031390134529,2.5428571428571427,267
